맛집명,경도,위도
해밀손칼국수,126.959187200407,37.4867001808408
옛날민속집,126.960358740195,37.6065332584577
오리와메밀푸른초장,126.964180178209,37.5630162425604
자하 손만두,126.966054542213,37.5931379315086
강원정,126.967858631268,37.5404763992384
인왕식당,126.969636052713,37.5805145563227
양평민물매운탕,126.969746042406,37.5490154875603
갯마을한강로점,126.970336410953,37.5230375379877
포담,126.970565307009,37.5793234975949
따빠스구르메,126.970888606394,37.5793925939033
취천루,126.971032252591,37.5782670173888
두오모,126.971559645911,37.5816519092847
사발,126.9724255294,37.5735877659071
안주마을,126.972100023583,37.5764620424718
평안도만두집,126.973281404951,37.5727371532245
구복만두,126.973240936392,37.5450443677069
옛집,126.973233182479,37.534131453394
메밀꽃필무렵,126.973703515626,37.5788830216242
평양집,126.973968347862,37.5348564728986
아지겐,126.974503436949,37.5207802377583
광화문집,126.974982570478,37.571373869928
봉산집 본점,126.975006002123,37.5344370108951
닭진미강원집,126.977064487086,37.5595955708584
북악정,126.977751938817,37.6113370293913
대복,126.977930950651,37.5627998606316
대복집,126.977930950651,37.5627998606316
신성식당,126.978064108081,37.5626208574388
창수린,126.978166627826,37.5460264791562
이나니와 요스케,126.979208538495,37.5653821677485
청진옥,126.979463167521,37.571729636393
유림낙지,126.97969718893,37.5694929560127
원조유림낙지,126.97969718893,37.5694929560127
감촌,126.979923668151,37.5708444878121
부민옥,126.980177653984,37.5675310295731
긴자바이린,126.980489364782,37.577583933367
병우네,126.981084012266,37.5835122990044
금홍,126.98115440183,37.5189128959625
큰기와집,126.98163557165,37.5799395860304
비원떡집,126.981706057889,37.5754915686781
풍년쌀농산,126.981699396612,37.5809697021622
이태리재,126.981725739327,37.5787996624483
남포면옥,126.981675952718,37.5671463662203
조선김밥,126.982221422283,37.5785671014704
백부장집닭한마리,126.982689062851,37.571820433208
백부장집 닭한마리,126.982689062851,37.571820433208
영양센타,126.983123103544,37.5611114383997
오돌,126.98350057631,37.4778359163465
명동돈가스,126.983575304265,37.5640274873951
이문설농탕,126.983898042671,37.5727614233366
안즈,126.98414050544,37.5669394038707
플러스 84,126.984242826008,37.575017290578
하동관명동본점,126.98503102565,37.5644336698671
명동교자,126.985755097262,37.562573201873
명동교자 본점,126.985755097262,37.562573201873
깡통만두,126.986091413804,37.5781501001946
서호김밥,126.986695691024,37.4916768903162
목멱산방,126.986887946092,37.5581161015051
El Pino323,126.987046388508,37.5372242987446
쿠촐로,126.987177077812,37.5411542953595
일미식당,126.987902476529,37.5727635233966
낙원떡집,126.987907857685,37.5737878650638
통나무식당,126.988019050876,37.5736024516612
지노스뉴욕피자,126.988210990583,37.5343987025279
양양메밀막국수,126.988276943125,37.492513372807
