자치구,위도,경도,대여소명
용산구,37.52960968,126.96887207,841.  신용산역 1번 출구
용산구,37.53379822,126.98867035,843. 이태원관광특구B(용산구청쪽)
용산구,37.5271492,126.95516205,844.  이촌2동 동원베네스트 아파트 앞
용산구,37.53269958,126.96437836,845.  용산 선인상가
용산구,37.54650116,126.9809494,846.  용산중학교
용산구,37.53488922,126.97562408,848.  삼각지12번 출구
용산구,37.53607941,126.97341919,849.  삼각지 자이아파트
용산구,37.53739929,126.96892548,850.  KCC용산월츠타워
용산구,37.54047775,126.95811462,851. 효창 푸르지오 앞
용산구,37.53452682,126.9471817,852. 청암자이아파트 앞
용산구,37.52848816,126.9658432,853. 용산역 맞은편
용산구,37.53872681,127.00154877,854. HID 유족동지회 앞
용산구,37.52272415,126.97277069,855. 이촌역5번출구 앞
용산구,37.53502274,126.9980545,857.  현대 안성타워
용산구,37.53440857,126.9868927,858. 녹사평역3번 출구
용산구,37.54188538,126.99586487,859. 남산공원 야외식물원 앞
용산구,37.52074814,126.9708252,860. LG한강 자이아파트 앞
용산구,37.52177048,126.977005,863. 이촌역2번 출구
용산구,37.53514099,127.00600433,864. 순천향대학병원(한남오거리)
용산구,37.551548,126.97686005,866. 브라운스톤 남산아파트
용산구,37.51990891,126.98923492,867. 서빙고역 광장(1번출구)
용산구,37.51729584,126.95914459,869. 노들섬 동측 앞
용산구,37.51731873,126.95829773,870. 노들섬 서측 앞
용산구,37.53200531,126.95555878,4603.  한강GS에클라트 건너편 교통섬
용산구,37.5332222,126.95723724,4604.  원효로다목적체육관 앞
용산구,37.51758957,126.95922089,"4605.  노들섬 다목적홀(동쪽) 숲, 앞"
용산구,37.52087784,126.97971344,4607.  국립중앙박물관 -용산가족공원 앞
용산구,37.52145767,126.97767639,4608.  국립중앙박물관 정문 앞
용산구,37.52330017,126.97206116,4609.  파크타워 104동 앞
용산구,37.53591919,127.00541687,4610.  한남나인원 105동 앞
용산구,37.54143906,127.00376129,4611.  국제루터교회 앞
용산구,37.53749847,127.00084686,4612.  한남 준 JFSS 앞
용산구,37.53599548,126.99948883,4613.  서울갤러리아 앞
용산구,37.53030014,126.99137878,4615.  크라운호텔앞 버스정류소
용산구,37.53248215,126.96411896,4616.  신용산지하차도 앞
용산구,37.52761078,126.95511627,4617.  동원베네스트 건너편
용산구,37.53237915,126.95252991,4618.  풍전아파트 건너편
용산구,37.52301788,126.96240997,4619.  한강트럼프월드3차 앞
용산구,37.53528595,126.97408295,4620.  삼각지역 14번 출구 앞(교통섬)
용산구,37.55240631,126.98201752,4621.  남산도서관 앞
용산구,37.5251503,126.99208832,4622.  한강중학교 앞 버스정류장
용산구,37.53453064,126.99619293,4623.  라인프랜즈이태원점 앞
용산구,37.5393219,126.97319031,4625.  용산공원갤러리앞
용산구,37.53851318,126.96355438,4627.  효창공원앞역 5번출구 옆
용산구,37.52544022,126.96459961,4629.  한강초교보도육교 앞
용산구,37.52529526,126.99583435,4632.  용산 푸르지오 파크타운 1단지 앞
용산구,37.52703476,126.96617889,4633.  센트럴파크타워 앞
용산구,37.53440094,126.99466705,4634.  이태원역 3번 출구
용산구,37.53786087,126.96565247,4636.  용산구꿈나무종합타운 앞
용산구,37.52468109,126.96819305,4637.  용산시티파크 101동 앞
용산구,37.54733658,126.97038269,4638.  청파동삼거리 앞
용산구,37.51794052,126.98370361,4639.  동빙고근린공원
용산구,37.53577805,126.96221161,4640.  원효로2가 교차로
용산구,37.54039001,126.97349548,4641.  아메리칸센터
용산구,37.53930283,126.97050476,4642.  용산더프라임아파트 101동 앞
용산구,37.5202713,126.97335052,4643. 한가람아파트 앞
성동구,37.55125046,127.03510284,3511.  응봉역 1번출구
성동구,37.56460953,127.02919769,3513.  상왕십리역 1번출구
성동구,37.56626129,127.0236969,3514.  왕십리교회옆
성동구,37.54281616,127.04208374,3515.  서울숲 관리사무소
성동구,37.54608917,127.02507019,3525.  금호스포츠센터앞
성동구,37.56179047,127.02439117,3527.  왕십리 자이아파트(101동 앞)
성동구,37.56014633,127.02635956,3530.  왕십리자이아파트 후문(삼거리)
성동구,37.55477905,127.02484131,3531.  논골사거리(금호도서관 입구)
성동구,37.56068039,127.02677917,3532.  왕십리KCC스위첸아파트
성동구,37.54906082,127.05779266,506.  금호 어울림 아파트 앞
성동구,37.54516602,127.05751038,508.  성수아카데미타워 앞
성동구,37.54122162,127.04380035,510. 뚝도아리수정수센터 버스정류소 옆
성동구,37.54458237,127.04460907,511.  서울숲역 5번 출구 옆
성동구,37.5485611,127.0450058,512.  뚝섬역 1번 출구 옆
성동구,37.54630661,127.04980469,513.  뚝섬역 5번 출구 정류소 옆
성동구,37.54257965,127.06330872,514.  성수사거리 버스정류장 앞
성동구,37.57152557,127.03535461,518.  청계천 박물관 앞
성동구,37.56699371,127.02991486,519.  양지사거리
성동구,37.56385803,127.03031921,520.  상왕십리역 4번 출구 앞
성동구,37.56144714,127.03491974,521.  왕십리역 11번 출구 앞
성동구,37.5486412,127.01642609,522.  금호역 1번출구 앞
성동구,37.54366302,127.01406097,523.  옥수동성당 옆
성동구,37.55220032,127.02505493,524.  래미안금호하이리버 아파트 102동 옆
성동구,37.55805206,127.04035187,525.  한양대병원사거리
성동구,37.56351089,127.05672455,526.  용답토속공원 앞
성동구,37.56137085,127.06365967,529.  장한평역 8번 출구 앞
성동구,37.56874847,127.03040314,530.  청계벽산아파트 앞
성동구,37.54814911,127.02108765,533.  금남시장 교차로
성동구,37.54863358,127.02572632,534.  금호사거리
성동구,37.5539856,127.03359222,535.  응봉삼거리
성동구,37.55735016,127.02921295,536.  행당역 2번출구 앞
성동구,37.56035614,127.04139709,537.  한양대후문역 부근
성동구,37.56764984,127.05115509,538.  답십리역 8번출구 앞
성동구,37.57164001,127.03565979,550.  서울시설공단 앞
성동구,37.54205322,127.020401,556.  달맞이공원
성동구,37.56764221,127.0256958,557.  도선동 주민센터 앞
성동구,37.56460571,127.03652191,558.  성동광진 교육지원청 앞
성동구,37.56109619,127.03679657,559.  왕십리역 4번 출구 건너편
성동구,37.55120468,127.06893158,560.  비전교회 앞
성동구,37.54281616,127.0446701,561.  서울숲역 2번출구 앞
성동구,37.5479126,127.06275177,563.  성동세무서 건너편
성동구,37.54792786,127.01557159,564.  금호역 3번출구
성동구,37.54136658,127.01776123,565.  옥수역 3번출구
성동구,37.57110214,127.02355957,568. 청계8가 사거리 B
